Score,pct_change,p-value,delta_val,delta_size
-0.21461300000000003,-25.31706918297755,2.6280247350541672e-23,0.0,negligible
-0.171256,0.0,1.0,1.0,large
-0.222518,-29.93296585229131,2.6280247350541672e-23,1.0,large
