Expense,pct_change,p-value,delta_val,delta_size
8.67,0.0,1.0,0.0,negligible
75.56666666666666,771.5878508266051,4.467953690088164e-18,-1.0,large
48.04666666666667,454.1714725105728,4.507343895386024e-18,-1.0,large
