Processing_Time,pct_change,p-value,delta_val,delta_size
0.7796666666666667,-16.074632221026192,3.18812846348301e-18,0.0,negligible
0.784,-15.608180839612487,3.2670008529447235e-18,1.0,large
0.929,0.0,1.0,1.0,large
