Expense,pct_change,p-value,delta_val,delta_size
22.833333333333336,0.0,1.0,0.0,negligible
117.45,414.3795620437956,5.932122388685809e-18,-1.0,large
59.04666666666667,158.59854014598537,6.117096127691686e-18,-1.0,large
