Expense,pct_change,p-value,delta_val,delta_size
10.32,11.087190527448882,5.173114645969943e-18,0.0,negligible
9.29,0.0,1.0,-0.998,large
9.58,3.1216361679225075,1.33479028180675e-07,-0.6016,large
